name,orig_n,orig_m,trial,strategy,frac,gen_n,gen_m,degree_js,pagerank_js
karate,34,78,1,random,-10,35,65,0.5044021170982748,0.6771153584475147
karate,34,78,2,random,-10,37,76,0.17099567034825205,0.7252330384833916
karate,34,78,3,random,-10,36,78,0.21542246744722798,0.7159596521511915
karate,34,78,4,random,-10,34,69,0.15057195495548772,0.437526571687256
karate,34,78,5,random,-10,34,71,0.14154152766903777,0.5583975565049358
karate,34,78,6,random,-10,31,64,0.1323190277511657,0.7562979708266592
karate,34,78,7,random,-10,31,64,0.1470958526781956,0.89624967349379
karate,34,78,8,random,-10,32,61,0.5200678568379956,0.7515945252813409
karate,34,78,9,random,-10,30,64,0.19594945425069532,0.8451046502197817
karate,34,78,10,random,-10,31,63,0.119239501698986,0.8065802907496986
karate,34,78,11,random,-10,34,71,0.06648162745946445,0.5222710484554255
karate,34,78,12,random,-10,36,76,0.23039008277878753,0.788319056781808
karate,34,78,13,random,-10,31,65,0.15056271441521218,0.7683470972491977
karate,34,78,14,random,-10,32,62,0.5465461943421794,0.8681094510882795
karate,34,78,15,random,-10,34,68,0.16081327319270566,0.456364509414251
karate,34,78,16,random,-10,32,64,0.561119190960573,0.868567899335795
karate,34,78,17,random,-10,36,79,0.19216887463552398,0.7910434297775664
karate,34,78,18,random,-10,36,73,0.24907649526571188,0.7180193159199177
karate,34,78,19,random,-10,36,76,0.24027201687173239,0.8246476325880183
karate,34,78,20,random,-10,31,62,0.17785969431272247,0.7589446353375572
karate,34,78,21,random,-10,30,66,0.2403876379981759,0.7826054114106712
karate,34,78,22,random,-10,39,85,0.26401773463242995,0.8422158452006091
karate,34,78,23,random,-10,35,68,0.4853744211752303,0.5949406184830692
karate,34,78,24,random,-10,36,74,0.25553534291070873,0.7761571661363065
karate,34,78,25,random,-10,35,67,0.4660416646467201,0.5289597605814587
karate,34,78,26,random,-10,37,77,0.1891539358856915,0.7709865917220938
karate,34,78,27,random,-10,31,59,0.21809701232468637,0.8138246214207604
karate,34,78,28,random,-10,31,62,0.2585118381378759,0.768406683540731
karate,34,78,29,random,-10,31,64,0.2056001832495162,0.8126295658428846
karate,34,78,30,random,-10,30,69,0.14772527263546031,0.8659962421166839
karate,34,78,31,random,-10,36,79,0.1987291276531493,0.8619096784071448
karate,34,78,32,random,-10,30,66,0.22763409733787549,0.888196071618971
karate,34,78,33,random,-10,39,85,0.2900023318067119,0.8481154680828974
karate,34,78,34,random,-10,36,77,0.2216518422084451,0.8650317820600378
karate,34,78,35,random,-10,34,68,0.16007316303013064,0.5240313121527113
karate,34,78,36,random,-10,35,65,0.49637348319837066,0.6543038541385517
karate,34,78,37,random,-10,39,83,0.2627331991294834,0.83768164082173
karate,34,78,38,random,-10,33,73,0.19689816143530428,0.6042676499854395
karate,34,78,39,random,-10,36,73,0.24047583745099707,0.7663584425276617
karate,34,78,40,random,-10,34,70,0.14048433930092763,0.4561561851482783
karate,34,78,41,random,-10,34,71,0.11282988728398874,0.5734435470116581
karate,34,78,42,random,-10,33,71,0.2004476351548088,0.5665979262578604
karate,34,78,43,random,-10,33,69,0.17998739189066904,0.7026639999945753
