name,clustering,cost
karate,cond,982
karate,labelprop,1777
karate,louvain,1725
karate,infomap,1739
karate,leiden,1724
karate,random,1911
karate,spectral,1145
karate,consensus,906
football,cond,18833
football,labelprop,64227
football,louvain,62002
football,infomap,63806
football,leiden,62786
football,random,46622
football,spectral,24785
football,consensus,17593
polbooks,cond,12171
polbooks,labelprop,26461
polbooks,louvain,24094
polbooks,infomap,28238
polbooks,leiden,22700
polbooks,random,30354
polbooks,spectral,17825
polbooks,consensus,10196
eucore,cond,6658121
eucore,labelprop,14936245
eucore,louvain,13319478
eucore,infomap,13905315
eucore,leiden,13322261
eucore,random,10672461
eucore,spectral,8109969
eucore,consensus,6560146
flights,cond,11943255
flights,labelprop,34390873
flights,louvain,34201265
flights,infomap,40058337
flights,leiden,35788519
flights,random,30382639
flights,spectral,11426072
polblogs,cond,17197501
polblogs,labelprop,13717826
polblogs,louvain,12979432
polblogs,infomap,14982489
polblogs,leiden,12834119
polblogs,random,16533052
polblogs,spectral,19185432
polblogs,consensus,8605095
